Age;Status;Studies;YearsOfExperience;Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;4;4;TRUE;1090
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;7;7;TRUE;987
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;4;4;TRUE;1070
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;2;2;TRUE;2169
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;7;7;TRUE;1223
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;2;2;TRUE;874
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;2;2;TRUE;1796
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;4;4;TRUE;986
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;5;5;TRUE;1236
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;1;1;TRUE;1134
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;7;7;TRUE;1317
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;6;6;TRUE;1280
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;7;7;TRUE;1407
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;3;3;TRUE;1154
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;6;6;TRUE;1638
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;6;6;TRUE;1262
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;3;3;TRUE;1392
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;5;5;TRUE;1173
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;2;2;TRUE;1291
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;5;5;TRUE;1312
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;1;1;TRUE;1115
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;1;1;TRUE;1200
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;4;4;TRUE;1234
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;7;7;TRUE;1489
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;2;2;TRUE;1211
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;5;5;TRUE;1236
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;7;7;TRUE;1325
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;4;4;TRUE;1333
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;3;3;TRUE;1370
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;4;4;TRUE;1381
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;6;6;TRUE;1152
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;5;5;TRUE;1271
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;1;1;TRUE;1111
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;6;6;TRUE;1173
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;2;2;TRUE;1194
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;4;4;TRUE;1276
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;7;7;TRUE;1399
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;4;4;TRUE;1361
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;1;1;TRUE;1030
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;7;7;TRUE;1171
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;3;3;TRUE;1576
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;4;4;TRUE;1250
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;2;2;TRUE;1468
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;7;7;TRUE;1370
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;5;5;TRUE;1255
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;5;5;TRUE;1210
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;2;2;TRUE;1331
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;4;4;TRUE;1376
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;2;2;TRUE;949
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;5;5;TRUE;1485
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;3;3;TRUE;1181
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;1;1;TRUE;1532
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;7;7;TRUE;1185
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;5;5;TRUE;1034
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;4;4;TRUE;1207
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;1;1;TRUE;1275
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;6;6;TRUE;1632
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;3;3;TRUE;1293
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;2;2;TRUE;1492
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;5;5;TRUE;1481
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;7;7;TRUE;1315
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;1;1;TRUE;1046
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;4;4;TRUE;1247
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;5;5;TRUE;1438
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;4;4;TRUE;1355
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;5;5;TRUE;1180
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;4;4;TRUE;990
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;6;6;TRUE;1043
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;5;5;TRUE;1102
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;6;6;TRUE;1111
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;6;6;TRUE;1029
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;3;3;TRUE;1098
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;3;3;TRUE;987
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;3;3;TRUE;1169
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;1;1;TRUE;1175
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;5;5;TRUE;1051
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;4;4;TRUE;1182
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;5;5;TRUE;1464
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;6;6;TRUE;1254
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;2;2;TRUE;1382
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;1;1;TRUE;1943
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;6;6;TRUE;1192
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;2;2;TRUE;1086
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;7;7;TRUE;1217
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;3;3;TRUE;1416
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;2;2;TRUE;1161
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;6;6;TRUE;1896
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;6;6;TRUE;1469
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;1;1;TRUE;1414
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;5;5;TRUE;1308
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;4;4;TRUE;1404
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;7;7;TRUE;1091
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;7;7;TRUE;1510
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;1;1;TRUE;1273
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;1;1;TRUE;1275
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;4;4;TRUE;1231
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;4;4;TRUE;1279
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;2;2;TRUE;1034
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;5;5;TRUE;1094
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;6;6;TRUE;1201
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;3;3;TRUE;1494
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;3;3;TRUE;1056
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;2;2;TRUE;1097
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;1;1;TRUE;1026
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;4;4;TRUE;1095
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;3;3;TRUE;1479
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;7;7;TRUE;1346
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;4;4;TRUE;1339
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;7;7;TRUE;1147
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;3;3;TRUE;1089
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;2;2;TRUE;1038
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;1;1;TRUE;1144
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;4;4;TRUE;1219
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;5;5;TRUE;1049
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;2;2;TRUE;1124
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;7;7;TRUE;1583
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;6;6;TRUE;1283
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;4;4;TRUE;1181
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;2;2;TRUE;1159
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;6;6;TRUE;1392
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;5;5;TRUE;1375
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;3;3;TRUE;1459
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;4;4;TRUE;1153
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;4;4;TRUE;1129
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;1;1;TRUE;1380
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;1;1;TRUE;951
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;6;6;TRUE;1225
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;7;7;TRUE;1459
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;1;1;TRUE;1263
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;5;5;TRUE;1025
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;5;5;TRUE;1406
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;4;4;TRUE;1354
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;7;7;TRUE;1289
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;6;6;TRUE;1307
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;6;6;TRUE;1521
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;1;1;TRUE;1214
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;3;3;TRUE;1011
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;4;4;TRUE;930
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;7;7;TRUE;1061
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;3;3;TRUE;1296
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;6;6;TRUE;1176
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;6;6;TRUE;1178
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;3;3;TRUE;1199
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;6;6;TRUE;11188
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;2;2;TRUE;2274
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;3;3;TRUE;6844
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;1;1;TRUE;1354
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;7;7;TRUE;1095
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;3;3;TRUE;1126
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;2;2;TRUE;1146
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;3;3;TRUE;1472
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;3;3;TRUE;1573
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;3;3;TRUE;978
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;4;4;TRUE;1021
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;2;2;TRUE;930
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;6;6;TRUE;1512
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;4;4;TRUE;1250
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;7;7;TRUE;1284
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;3;3;TRUE;1379
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;4;4;TRUE;1005
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;2;2;TRUE;1000
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;3;3;TRUE;987
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;2;2;TRUE;1033
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;1;1;TRUE;1880
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;6;6;TRUE;1192
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;7;7;TRUE;1334
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;7;7;TRUE;1208
